Nested Sampling Global Log-Evidence           :   -0.520858025779546551E+03  +/-    0.544923148620895803E-01
Nested Importance Sampling Global Log-Evidence:   -0.521376541307506614E+03  +/-    0.904635923248104344E-02

Dim No.       Mean        Sigma
   1    0.740854690827370206E+02    0.138441625570449345E+01
   2    0.223538032325921836E-01    0.162134117603722499E-03
   3    0.142531308635701126E+00    0.139020241998008328E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.717182894757341103E+02
   2    0.224697529344479729E-01
   3    0.131309119667514462E+00

MAP Parameters
Dim No.        Parameter
   1    0.757638306650938489E+02
   2    0.223436006003778186E-01
   3    0.135996269495424760E+00
