Nested Sampling Global Log-Evidence           :   -0.520935924910696144E+03  +/-    0.552433220195382504E-01
Nested Importance Sampling Global Log-Evidence:   -0.521351990064216125E+03  +/-    0.959904121575699647E-02

Dim No.       Mean        Sigma
   1    0.740853933393921267E+02    0.139810227951440358E+01
   2    0.223525527033328446E-01    0.158787687059552016E-03
   3    0.142538400472988908E+00    0.136917565871892532E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.709235718258614156E+02
   2    0.221332409336993455E-01
   3    0.128196365833282477E+00

MAP Parameters
Dim No.        Parameter
   1    0.780954336738846280E+02
   2    0.224748289925654210E-01
   3    0.173102083138372581E+00
